10
16.

-2.   0.  -3.  -2.   1.  -2.  -3.   2.  -1.   1.
 0.  -5.   2.  -1.   0.   2.   1.  -1.   1.  -3.
 2.   2.   1.   1.   1.  -2.   0.  -3.   4.   3.
 1.  -1.   0.   3.   2.   2.   0.   2.   0.   0.
-2.   0.   0.  -3.   2.   0.  -3.  -3.   4.   0.
 1.   1.   3.   2.   2.  -2.  -1.  -4.   0.  -2.
 1.   0.   2.   1.   1.  -1.   1.   1.   0.  -2.
 1.   4.   2.   0.   2.   0.  -4.  -1.   2.  -2.
-1.   4.   3.   3.   0.   1.   2.   0.  -3.  -3.
 1.  -3.   1.   3.   0.  -1.  -2.   4.   0.   2.

-180344.  -185900.  -167272.  -1080.   122932.    50776.   101720.   -49680.   -94092.   23908.
  -3634.    -3747.    -3370.    -22.     2477.     1022.     2050.    -1000.    -1895.     481.
-506388.  -521990.  -469684.  -3036.   345194.   142572.   285620.  -139504.  -264190.   67138.
 497474.   512803.   461418.   2982.  -339117.  -140062.  -280594.   137048.   259543.  -65953.
-421876.  -434878.  -391300.  -2524.   287586.   118780.   237956.  -116224.  -220102.   55930.
-205952.  -212296.  -191024.  -1232.   140392.    57984.   116160.   -56736.  -107448.   27304.
 -39166.   -40373.   -36326.   -234.    26699.    11026.    22094.   -10792.   -20433.    5191.
 -30028.   -30954.   -27852.   -180.    20470.     8452.    16940.    -8272.   -15666.    3982.
 441976.   455596.   409944.   2648.  -301284.  -124440.  -249288.   121760.   230588.  -58596.
-490382.  -505493.  -454838.  -2938.   334283.   138066.   276590.  -135096.  -255841.   65015.
